222,03499,Бели пласт,село,Кърджали,Кърджали
223,03504,Белица,град,Благоевград,Белица
224,03513,Белица,село,Габрово,Трявна
225,03527,Белица,село,Силистра,Тутракан
226,03530,Белица,село,Пловдив,Лъки
227,03544,Белица,село,Хасково,Любимец
228,03558,Белиш,село,Ловеч,Троян
229,03561,Бел камен,село,Благоевград,Якоруда
230,03575,Беловец,село,Разград,Кубрат
231,03589,Беловица,село,Пловдив,Хисаря
232,03592,Белово,град,Пазарджик,Белово
233,03602,Белоградец,село,Варна,Ветрино
234,03616,Белоградчик,град,Видин,Белоградчик
235,03620,Белозем,село,Пловдив,Раковски
236,03633,Белокопитово,село,Шумен,Шумен
237,03647,Беломорци,село,Търговище,Омуртаг
238,03650,Беломъжите,село,Габрово,Габрово
239,03664,Бело поле,село,Благоевград,Благоевград
240,03678,Бело поле,село,Видин,Ружинци
241,03681,Белополци,село,Хасково,Ивайловград
242,03695,Белополяне,село,Хасково,Ивайловград
243,03705,Белопопци,село,София,Горна Малина
244,03719,Белослав,град,Варна,Белослав
245,03722,Белотинци,село,Монтана,Монтана
246,03736,Долно Белотинци,село,Монтана,Монтана
247,03745,Белцов,село,Русе,Ценово
248,03753,Белчевци,село,Велико Търново,Велико Търново
249,03767,Белчин,село,София,Самоков
250,03770,Белчински бани,село,София,Самоков
251,03784,Бельово,село,Благоевград,Сандански
252,03798,Беляковец,село,Велико Търново,Велико Търново
253,03808,Беляново,село,Русе,Ценово
254,03811,Бенковски,село,Варна,Аврен
255,03825,Бенковски,село,Кърджали,Кирково
256,03839,Бенковски,село,Пловдив,Марица
257,03842,Бенковски,село,София,Мирково
258,03856,Бенковски,село,Стара Загора,Стара Загора
259,03860,Бенковски,село,Добрич,Добрич-селска
260,03873,Берайнци,село,Перник,Трън
261,03887,Беренде,село,Перник,Земен
262,03890,Беренде,село,София,Драгоман
263,03900,Беренде извор,село,София,Драгоман
264,03914,Бериево,село,Габрово,Севлиево
265,03928,Берковица,град,Монтана,Берковица
266,03931,Берковски,село,Търговище,Попово
267,03945,Берковци,село,Велико Търново,Елена
268,03959,Бероново,село,Бургас,Сунгурларе
269,03962,Берсин,село,Кюстендил,Кюстендил
270,03976,Беслен,село,Благоевград,Хаджидимово
271,03986,Беснурка,село,Кърджали,Черноочене
272,03993,Биволаре,село,Плевен,Долна Митрополия
273,04008,Биволяне,село,Кърджали,Момчилград
274,04011,Бижовци,село,Велико Търново,Велико Търново
275,04025,Бижовци,село,Габрово,Трявна
276,04039,Биково,село,Сливен,Сливен
277,04042,Билинци,село,Перник,Брезник
278,04056,Билка,село,Бургас,Руен
279,04068,Билкини,село,Габрово,Дряново
280,04090,Било,село,Добрич,Каварна
281,04100,Билянска,село,Смолян,Смолян
282,04114,Бинкос,село,Сливен,Сливен
283,04128,Бисер,село,Хасково,Харманли
284,04131,Бисерци,село,Разград,Кубрат
285,04145,Бистра,село,Силистра,Алфатар
286,04159,Бистра,село,Търговище,Търговище
287,04162,Бистренци,село,Русе,Бяла
288,04176,Бистрец,село,Бургас,Средец
289,04193,Бистрец,село,Добрич,Крушари
290,04203,Бистрилица,село,Монтана,Берковица
291,04217,Бистрица,село,Благоевград,Благоевград
292,04220,Бистрица,село,Кюстендил,Дупница
293,04234,Бистрица,село,София (столица),Столична
294,04248,Бистроглед,село,Кърджали,Ардино
295,04251,Благово,село,Монтана,Монтана
296,04265,Благово,село,Шумен,Шумен
297,04279,Благоевград,град,Благоевград,Благоевград
298,04282,Благоево,село,Велико Търново,Стражица
299,04296,Благоево,село,Разград,Разград
300,04306,Благун,село,Кърджали,Крумовград
301,04314,Блажиево,село,Кюстендил,Бобошево
302,04323,Блатец,село,Кюстендил,Кюстендил
303,04337,Блатец,село,Сливен,Сливен
304,04340,Блатешница,село,Перник,Земен
305,04354,Блатино,село,Кюстендил,Дупница
306,04368,Блатница,село,Пазарджик,Стрелча
307,04371,Блато,село,Кюстендил,Бобов дол
308,04399,Блатска,село,Благоевград,Хаджидимово
309,04409,Бленика,село,Кърджали,Кърджали
310,04412,Близнак,село,Бургас,Малко Търново
311,04426,Близнаци,село,Варна,Аврен
312,04430,Близнаци,село,Шумен,Хитрино
313,04443,Близнец,село,Сливен,Твърдица
314,04457,Блъсково,село,Варна,Провадия
315,04460,Блъсковци,село,Велико Търново,Елена
316,04474,Боазът,село,Габрово,Севлиево
317,04488,Бобевци,село,Габрово,Габрово
318,04491,Бобешино,село,Кюстендил,Кюстендил
319,04501,Бобов дол,град,Кюстендил,Бобов дол
320,04515,Бобовец,село,Добрич,Балчик
321,04529,Бобораци,село,Перник,Радомир
322,04532,Бобошево,град,Кюстендил,Бобошево
323,04546,Бов,село,София,Своге
324,04555,Богатово,село,Габрово,Севлиево
325,04563,Богдан,село,Пловдив,Карлово
326,04580,Богдан,село,Добрич,Добрич-селска
327,04594,Богданица,село,Пловдив,Садово
328,04604,Богданлия,село,София,Елин Пелин
329,04618,Богданов дол,село,Перник,Перник
330,04621,Богданово,село,Бургас,Средец
331,04635,Богданово,село,Сливен,Нова Загора
332,04649,Богдановци,село,София,Ихтиман
333,04652,Богданско,село,Велико Търново,Елена
334,04666,Богданци,село,Разград,Самуил
335,04670,Богданци,село,Силистра,Главиница
336,04683,Богданчовци,село,Габрово,Габрово
337,04697,Богойна,село,Перник,Трън
338,04707,Боголин,село,Благоевград,Сатовча
339,04724,Богомил,село,Хасково,Харманли
340,04738,Богомилово,село,Стара Загора,Стара Загора
341,04741,Богомилци,село,Разград,Самуил
342,04755,Богомолско,село,Търговище,Антоново
343,04772,Богорово,село,Силистра,Силистра
344,04786,Богорово,село,Ямбол,Стралджа
345,04796,Богослов,село,Кюстендил,Кюстендил
346,04801,Богутево,село,Смолян,Чепеларе
347,04813,Богьовци,село,София,Костинброд
348,04827,Боденец,село,Враца,Мездра
349,04830,Стамболово,село,София,Ихтиман
350,04844,Бодрово,село,Хасково,Димитровград
351,04861,Боево,село,Смолян,Рудозем
352,04892,Боерица,село,София,Ихтиман
353,04902,Божак,село,Кърджали,Кърджали
354,04916,Божан,село,Добрич,Тервел
355,04927,Божаново,село,Добрич,Шабла
356,04933,Бождово,село,Благоевград,Сандански
357,04947,Божевци,село,Сливен,Сливен
358,04950,Боженица,село,София,Ботевград
359,04964,Боженците,село,Габрово,Габрово
360,04981,Божичен,село,Русе,Иваново
361,05009,Божурец,село,Добрич,Каварна
362,05013,Божурица,село,Плевен,Долна Митрополия
363,05027,Божурище,град,София,Божурище
364,05030,Божурка,село,Търговище,Търговище
365,05044,Божурлук,село,Плевен,Левски
366,05058,Божурово,село,Разград,Кубрат
367,05061,Божурово,село,Добрич,Добрич-селска
368,05075,Божурово,село,Шумен,Върбица
369,05089,Божурци,село,Кърджали,Черноочене
370,05092,Бозаджии,село,Сливен,Сливен
371,05102,Бозвелийско,село,Варна,Провадия
372,05124,Боил,село,Силистра,Дулово
373,05133,Лом Черковна,село,Русе,Бяла
374,05147,Бойковец,село,София,Етрополе
375,05150,Бойково,село,Пловдив,Родопи
376,05164,Бойковци,село,Велико Търново,Елена
377,05181,Бойник,село,Кърджали,Крумовград
378,05195,Бойница,село,Видин,Бойница
379,05205,Бойно,село,Кърджали,Кърджали
380,05219,Бойновци,село,Габрово,Габрово
381,05222,Бойчеви колиби,село,Велико Търново,Велико Търново
382,05236,Бойчиновци,град,Монтана,Бойчиновци
383,05240,Бойчовци,село,Велико Търново,Велико Търново
384,05253,Бокиловци,село,Монтана,Берковица
385,05267,Болтата,село,Габрово,Габрово
386,05270,Болярино,село,Пловдив,Раковски
387,05284,Болярово,град,Ямбол,Болярово
388,05298,Болярски извор,село,Хасково,Харманли
389,05308,Болярско,село,Ямбол,Тунджа
390,05311,Болярци,село,Варна,Аврен
391,05325,Болярци,село,Кърджали,Кърджали
392,05339,Болярци,село,Пловдив,Садово
393,05342,Бонево,село,Добрич,Тервел
394,05356,Борец,село,Пловдив,Брезово
395,05365,Борие,село,Смолян,Рудозем
396,05387,Борика,село,Смолян,Мадан
397,05390,Борика,село,София,Ихтиман
398,05400,Борики,село,Габрово,Габрово
399,05414,Бориково,село,Смолян,Смолян
400,05428,Бориловец,село,Видин,Бойница
401,05431,Борилово,село,Стара Загора,Стара Загора
402,05445,Борима,село,Ловеч,Троян
403,05459,Боримечково,село,Пазарджик,Лесичово
404,05462,Борино,село,Смолян,Борино
405,05476,Бориново,село,Смолян,Мадан
406,05480,Боринци,село,Сливен,Котел
407,05493,Борислав,село,Плевен,Пордим
408,05503,Бориславци,село,Хасково,Маджарово
409,05517,Борисово,село,Русе,Сливо поле
410,05520,Борисово,село,Ямбол,Елхово
411,05534,Борнарево,село,Перник,Радомир
412,05548,Борован,село,Враца,Борован
413,05551,Боров дол,село,Сливен,Твърдица
414,05565,Боровец,село,Кюстендил,Кочериново
415,05579,Боровина,село,Смолян,Мадан
416,05582,Боровица,село,Видин,Белоградчик
417,05596,Боровичене,село,Благоевград,Петрич
418,05606,Борово,село,Благоевград,Гоце Делчев
419,05611,Борово,град,Русе,Борово
420,05623,Борово,село,Пловдив,Лъки
421,05637,Борово,село,Стара Загора,Стара Загора
422,05640,Боровско,село,Кърджали,Черноочене
423,05654,Боровци,село,Монтана,Берковица
424,05668,Борското,село,Габрово,Габрово
425,05671,Борущица,село,Стара Загора,Мъглиж
426,05685,Борци,село,Шумен,Венец
427,05699,Боряна,село,Варна,Дългопол
428,05709,Босевци,село,Велико Търново,Елена
429,05712,Босилица,село,Кърджали,Черноочене
430,05726,Босилково,село,Бургас,Сунгурларе
431,05737,Босилково,село,Смолян,Баните
432,05743,Босилковци,село,Русе,Бяла
433,05757,Босна,село,Силистра,Ситово
434,05760,Боснек,село,Перник,Перник
435,05791,Бостанци,село,Кърджали,Черноочене
436,05801,Бостина,село,Смолян,Смолян
437,05815,Ботевград,град,София,Ботевград
438,05829,Ботево,село,Варна,Аксаково
439,05832,Ботево,село,Видин,Видин
440,05846,Ботево,село,Враца,Хайредин
441,05852,Ботево,село,Монтана,Вълчедръм
442,05863,Ботево,село,Ямбол,Тунджа
443,05877,Ботров,село,Русе,Бяла
444,05894,Ботуня,село,Враца,Криводол
445,05904,Ботурче,село,Хасково,Ивайловград
446,05918,Бохова,село,Перник,Трън
447,05921,Бохот,село,Плевен,Плевен
448,05935,Бочковци,село,Велико Търново,Велико Търново
449,05949,Бошуля,село,Пазарджик,Септември
450,05952,Бояджик,село,Ямбол,Тунджа
451,05966,Боян,село,Шумен,Венец
452,05978,Бояна,село,Варна,Вълчи дол
453,05983,Боян Ботево,село,Хасково,Минерални бани
454,05997,Бояново,село,Видин,Грамада
455,06001,Бояново,село,Ямбол,Елхово
456,06015,Бояновци,село,Велико Търново,Велико Търново
457,06029,Боянци,село,Пловдив,Асеновград
458,06032,Брадвари,село,Силистра,Силистра
459,06046,Бракница,село,Търговище,Попово
460,06050,Бракьовци,село,София,Годеч
461,06077,Браниполе,село,Пловдив,Родопи
462,06080,Браница,село,Хасково,Харманли
463,06094,Браничево,село,Шумен,Каолиново
464,06104,Бранище,село,Добрич,Добрич-селска
465,06118,Бранковци,село,Велико Търново,Велико Търново
466,06121,Бранковци,село,Видин,Грамада
467,06135,Братан,село,Сливен,Котел
468,06149,Братаница,село,Пазарджик,Пазарджик
469,06152,Братово,село,Бургас,Бургас
470,06166,Братово,село,Търговище,Търговище
471,06175,Братушково,село,София,Сливница
472,06183,Братя Даскалови,село,Стара Загора,Братя Даскалови
473,06197,Братя Кунчеви,село,Стара Загора,Стара Загора
474,06207,Брацигово,град,Пазарджик,Брацигово
475,06210,Брегаре,село,Плевен,Долна Митрополия
476,06224,Брегово,град,Видин,Брегово
477,06238,Брежани,село,Благоевград,Симитли
478,06241,Брежниците,село,Габрово,Трявна
479,06255,Бреза,село,Смолян,Рудозем
480,06269,Брезе,село,Смолян,Девин
481,06272,Брезе,село,София,Своге
482,06286,Брезник,град,Перник,Брезник
483,06306,Брезница,село,Благоевград,Гоце Делчев
484,06313,Брезнишки извор,село,Перник,Брезник
485,06327,Брезовдол,село,София,Своге
486,06344,Брезово,село,Велико Търново,Елена
487,06361,Брезово,град,Пловдив,Брезово
488,06375,Бреница,село,Плевен,Кнежа
489,06389,Бреница,село,Силистра,Тутракан
490,06392,Брест,село,Кюстендил,Трекляно
491,06402,Брест,село,Плевен,Гулянци
492,06416,Брестак,село,Варна,Вълчи дол
493,06421,Брестака,село,София,Мирково
494,06433,Бресте,село,Плевен,Червен бряг
495,06447,Брестник,село,Пловдив,Родопи
496,06450,Брестница,село,Ловеч,Ябланица
497,06464,Брестница,село,Добрич,Тервел
498,06478,Брестова,село,Стара Загора,Гурково
499,06481,Брестовене,село,Разград,Завет
500,06495,Брестовец,село,Плевен,Плевен
501,06505,Брестовица,село,Пловдив,Родопи
502,06519,Брестовица,село,Русе,Борово
503,06522,Брестово,село,Благоевград,Симитли
504,06536,Брестово,село,Ловеч,Ловеч
505,06547,Брод,село,Хасково,Димитровград
506,06553,Бродилово,село,Бургас,Царево
507,06567,Брош,село,Кърджали,Кърджали
508,06570,Брусарци,град,Монтана,Брусарци
509,06584,Брусевци,село,Хасково,Маджарово
510,06598,Брусен,село,Враца,Мездра
511,06608,Брусен,село,София,Етрополе
512,06625,Брусино,село,Хасково,Ивайловград
513,06639,Брусник,село,Перник,Брезник
514,06642,Брънеците,село,Габрово,Габрово
515,06662,Бръчковци,село,Велико Търново,Елена
516,06673,Бръшлен,село,Русе,Сливо поле
517,06687,Бръшлян,село,Бургас,Малко Търново
518,06690,Бръшляница,село,Плевен,Плевен
519,06700,Бръщен,село,Смолян,Доспат
520,06728,Бряговец,село,Кърджали,Крумовград
521,06731,Бряговица,село,Велико Търново,Стражица
522,06745,Брягово,село,Пловдив,Първомай
523,06759,Брягово,село,Хасково,Хасково
524,06762,Бряст,село,Хасково,Димитровград
525,06776,Брястовец,село,Бургас,Бургас
526,06788,Брястово,село,Сливен,Нова Загора
527,06793,Брястово,село,Добрич,Балчик
528,06803,Брястово,село,Хасково,Минерални бани
529,06817,Бубино,село,Хасково,Ивайловград
530,06848,Бузовград,село,Стара Загора,Казанлък
531,06851,Бузяковци,село,София,Ихтиман
532,06865,Буйновица,село,Шумен,Венец
533,06879,Буйново,село,Смолян,Борино
534,06882,Буйново,село,Търговище,Търговище
535,06896,Буйновци,село,Велико Търново,Елена
536,06906,Бук,село,Кърджали,Крумовград
537,06919,Букак,село,Търговище,Антоново
538,06923,Буката,село,Смолян,Смолян
539,06937,Букова поляна,село,Смолян,Мадан
540,06940,Буковец,село,Велико Търново,Велико Търново
541,06954,Буковец,село,Видин,Видин
542,06968,Буковец,село,Враца,Бяла Слатина
543,06971,Буковец,село,Монтана,Брусарци
544,06985,Буковец,село,София,Своге
545,06999,Буковлък,село,Плевен,Плевен
546,07003,Буково,село,Благоевград,Гоце Делчев
547,07017,Буково,село,Смолян,Мадан
548,07020,Букоровци,село,София,Годеч
549,07034,Булаир,село,Варна,Долни чифлик
550,07048,Буново,село,Кюстендил,Кюстендил
551,07051,Буново,село,София,Мирково
552,07065,Бураново,село,Кюстендил,Кочериново
553,07079,Бургас,град,Бургас,Бургас
554,07082,Буря,село,Габрово,Севлиево
555,07096,Бусинци,село,Перник,Трън
556,07106,Бусманци,село,София (столица),Столична
557,07116,Бутан,село,Враца,Козлодуй
558,07123,Бутово,село,Велико Търново,Павликени
559,07137,Бутроинци,село,Перник,Трън
560,07140,Бухово,град,София (столица),Столична
561,07154,Буховци,село,Търговище,Търговище
562,07168,Бучино,село,Благоевград,Благоевград
563,07171,Бучин проход,село,София,Костинброд
564,07185,Бучуковци,село,Габрово,Дряново
565,07199,Бъдеще,село,Стара Загора,Стара Загора
566,07209,Бъзовец,село,Монтана,Вълчедръм
567,07212,Бъзовец,село,Русе,Две могили
568,07226,Бъзовица,село,Кюстендил,Трекляно
569,07231,Бъзън,село,Русе,Русе
570,07243,Българаново,село,Търговище,Омуртаг
571,07257,Българево,село,Добрич,Каварна
572,07260,Българене,село,Ловеч,Ловеч
573,07274,Българене,село,Плевен,Левски
574,07288,Българене,село,Стара Загора,Раднево
575,07291,Българи,село,Бургас,Царево
576,07315,Българин,село,Хасково,Харманли
577,07329,Българка,село,Силистра,Силистра
578,07332,Българово,град,Бургас,Бургас
579,07346,Българска поляна,село,Хасково,Тополовград
580,07357,Български извор,село,Ловеч,Тетевен
581,07363,Българско Сливово,село,Велико Търново,Свищов
582,07377,Българчево,село,Благоевград,Благоевград
583,07380,Бънзарето,село,Стара Загора,Мъглиж
584,07394,Бърдарево,село,Варна,Долни чифлик
585,07404,Бърдарите,село,Габрово,Трявна
586,07418,Бърдарски геран,село,Враца,Бяла Слатина
587,07421,Бърдени,село,Габрово,Трявна
588,07435,Бърдо,село,София,Ихтиман
589,07452,Бърдоква,село,Разград,Исперих
590,07472,Бърза река,село,Кърджали,Черноочене
591,07497,Бързина,село,Враца,Хайредин
