174,16.22,1622,Производство на сглобени паркетни плочи,1622
175,16.23,1623,Производство на дограма и други изделия от дървен материал за строителството,1623
176,16.24,1624,Производство на опаковки от дървен материал,1624
177,16.29,1629,Производство на други изделия от дървен материал производство на изделия от корк слама и материали за плет,1629
178,17,17,Производство на хартия картон и изделия от хартия и картон,17
179,17.1,171,Производство на влакнести полуфабрикати хартия и картон,171
180,17.11,1711,Производство на влакнести полуфабрикати,1711
181,17.12,1712,Производство на хартия и картон,1712
182,17.2,172,Производство на изделия от хартия и картон,172
183,17.21,1721,Производство на вълнообразен картон и опаковки от хартия и картон,1721
184,17.22,1722,Производство на домакински санитарно хигиенни и тоалетни изделия от хартия и картон,1722
185,17.23,1723,Производство на канцеларски материали от хартия и картон,1723
635,49.5,495,Тръбопроводен транспорт,495
186,17.24,1724,Производство на тапети и подобни стенни облицовки,1724
187,17.29,1729,Производство на други изделия от хартия и картон,1729
188,18,18,Печатна дейност и възпроизвеждане на записани носители,18
189,18.1,181,Печатна дейност,181
190,18.11,1811,Печатане на вестници,1811
191,18.12,1812,Печатане на други издания и печатни продукти,1812
192,18.13,1813,Предпечатна подготовка,1813
193,18.14,1814,Подвързване и подобни дейности свързани с печатането,1814
194,18.2,182,Възпроизвеждане на записани носители,182
195,18.20,1820,Възпроизвеждане на записани носители,1820
196,19,19,Производство на кокс и рафинирани нефтопродукти,19
197,19.1,191,Производство на кокс и продукти на коксуването,191
198,19.10,1910,Производство на кокс и продукти на коксуването,1910
199,19.2,192,Производство на рафинирани нефтопродукти и брикети от въглища и торф,192
200,19.20,1920,Производство на рафинирани нефтопродукти и брикети от въглища и торф,1920
201,20,20,Производство на химични продукти,20
202,20.1,201,Производство на основни химични вещества,201
203,20.11,2011,Производство на промишлени газове,2011
204,20.12,2012,Производство на багрила и пигменти,2012
205,20.13,2013,Производство на други основни неорганични химични вещества,2013
206,20.14,2014,Производство на други основни органични химични вещества,2014
207,20.15,2015,Производство на азотни съединения и торове,2015
208,20.16,2016,Производство на полимери в първични форми,2016
209,20.17,2017,Производство на синтетичен каучук в първични форми,2017
210,20.2,202,Производство на пестициди и други агрохимикали,202
211,20.20,2020,Производство на пестициди и други агрохимикали,2020
212,20.3,203,Производство на бои лакове и подобни продукти печатарско мастило и китове,203
213,20.30,2030,Производство на бои лакове и подобни продукти печатарско мастило и китове,2030
214,20.4,204,Производство на почистващи миещи тоалетни и козметични препарати,204
215,20.41,2041,Производство на сапун миещи почистващи и полиращи препарати,2041
216,20.42,2042,Производство на парфюми и тоалетни продукти,2042
217,20.5,205,Производство на други химични продукти,205
218,20.51,2051,Производство на експлозиви,2051
219,20.52,2052,Производство на лепила,2052
220,20.53,2053,Производство на етерични масла,2053
221,20.59,2059,Производство на други химични продукти некласифицирани другаде,2059
222,20.6,206,Производство на изкуствени и синтетични влакна,206
223,20.60,2060,Производство на изкуствени и синтетични влакна,2060
224,21,21,Производство на лекарствени вещества и продукти,21
225,21.1,211,Производство на лекарствени вещества,211
226,21.10,2110,Производство на лекарствени вещества,2110
227,21.2,212,Производство на лекарствени продукти,212
228,21.20,2120,Производство на лекарствени продукти,2120
229,22,22,Производство на изделия от каучук и пластмаси,22
230,22.1,221,Производство на изделия от каучук,221
231,22.11,2211,Производство на външни и вътрешни гуми регенериране на пневматични гуми,2211
232,22.19,2219,Производство на други изделия от каучук,2219
233,22.2,222,Производство на изделия от пластмаси,222
234,22.21,2221,Производство на листове плочи тръби и профили от пластмаси,2221
235,22.22,2222,Производство на опаковки от пластмаси,2222
236,22.23,2223,Производство на дограма и други изделия от пластмаси за строителството,2223
237,22.29,2229,Производство на други изделия от пластмаси,2229
238,23,23,Производство на изделия от други неметални минерални суровини,23
239,23.1,231,Производство на стъкло и изделия от стъкло,231
240,23.11,2311,Производство на необработено плоско стъкло,2311
241,23.12,2312,Формуване и обработване на плоско стъкло,2312
242,23.13,2313,Производство на опаковки и домакинско стъкло,2313
243,23.14,2314,Производство на стъклени влакна,2314
244,23.19,2319,Производство и обработване на други изделия от стъкло вкл. за техническа употреба,2319
636,49.50,4950,Тръбопроводен транспорт,4950
245,23.2,232,Производство на огнеупорни изделия,232
246,23.20,2320,Производство на огнеупорни изделия,2320
247,23.3,233,Производство на керамични изделия за строителството,233
248,23.31,2331,Производство на керамични плочки,2331
249,23.32,2332,Производство на тухли керемиди и други изделия от печена глина за строителството,2332
250,23.4,234,Производство на други порцеланови и керамични изделия,234
251,23.41,2341,Производство на домакински порцелан декоративни изделия от порцелан и други керамични материали,2341
252,23.42,2342,Производство на санитарна керамика,2342
253,23.43,2343,Производство на керамични изолатори,2343
254,23.44,2344,Производство на друга техническа керамика,2344
255,23.49,2349,Производство на други керамични изделия некласифицирани другаде,2349
256,23.5,235,Производство на цимент вар и гипс,235
257,23.51,2351,Производство на цимент,2351
258,23.52,2352,Производство на вар и гипс,2352
259,23.6,236,Производство на изделия от бетон гипс и цимент,236
260,23.61,2361,Производство на изделия от бетон за строителството,2361
261,23.62,2362,Производство на изделия от гипс за строителството,2362
262,23.63,2363,Производство на готови бетонови смеси,2363
263,23.64,2364,Производство на неогнеупорни строителни разтвори,2364
264,23.65,2365,Производство на влакнесто циментови изделия,2365
265,23.69,2369,Производство на други изделия от бетон гипс и цимент,2369
